hs_code,description,mfn_rate
0302111000,Af arterne Oncorhynchus apache og Oncorhynchus chrysogaster,0.08
0302112010,Bestemt til forarbejdning,0.12
0302112090,I andre tilfælde,0.12
0302118011,"I form af hele fisk (med hoved), med eller uden gæller, rensede eller urensede, af vægt pr. stk. højst 1,2 kg; uden hoved, med eller uden gæller, rensede eller urensede, af vægt pr. stk. højst 1 kg",0.12
0302118019,I andre tilfælde,0.12
0302118090,I andre tilfælde,0.12
0302130000,"Stillehavslaks (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou og Oncorhynchus rhodurus)",0.02
0302140010,Atlanterhavslaks (Salmo salar),0.02
0302140090,Donaulaks (Hucho hucho),0.02
0302190000,Andre laksefisk,0.08
0302211000,Hellefisk (Reinhardtius hippoglossoides),0.08
0302213000,Atlanterhavshelleflynder (Hippoglossus hippoglossus),0.08
0302219000,Stillehavshelleflynder (Hippoglossus stenolepis),0.15
0302220000,Rødspætte (Pleuronectes platessa),0.075
0302230000,Tunge (Solea spp.),0.15
0302240000,Pighvar (Psetta maxima),0.15
0302291000,Glashvarre (Lepidorhombus spp.),0.15
0302298000,Andre fladfisk,0.15
0302319000,I andre tilfælde,0.22
0302329000,I andre tilfælde,0.22
0302339000,I andre tilfælde,0.22
0302349000,I andre tilfælde,0.22
0302351900,I andre tilfælde,0.22
0302359900,I andre tilfælde,0.22
0302369000,I andre tilfælde,0.22
0302398000,I andre tilfælde,0.22
0302410000,"Sild (Clupea harengus, Clupea pallasii)",0.15
0302420000,Ansjos (Engraulis spp.),0.15
0302431000,Sardin af arten Sardina pilchardus,0.23
0302433000,Sardin af slægten Sardinops; sardinel (Sardinella spp.),0.15
0302439000,Brisling (Sprattus sprattus),0.13
0302440010,Makrel (Scomber scombrus),0.2
0302440090,Andre fisk,0.2
0302451000,Almindelig hestemakrel (Trachurus trachurus),0.15
0302453000,Chilensk hestemakrel (Trachurus murphyi),0.15
